model_slug,maker_name,model_name,primary_class,support_tags,latest_available_year,overall_price_median,overall_high_price,classification_reason
toyota-gr-corolla,トヨタ,GRカローラ,高額・スポーツ系車種,,2025,506.5,715.0,sports_or_premium_list / overall_price_median>=220 / high_price>=500
toyota-gr-yaris,トヨタ,GRヤリス,高額・スポーツ系車種,,2025,340.6,484.2,sports_or_premium_list / overall_price_median>=220
toyota-gr86,トヨタ,GR86,高額・スポーツ系車種,,2025,271.4,344.5,sports_or_premium_list / overall_price_median>=220
toyota-land-cruiser-250,トヨタ,ランドクルーザー250,高額・スポーツ系車種,,2026,652.5,903.8,overall_price_median>=220 / high_price>=500
toyota-land-cruiser-300,トヨタ,ランドクルーザー300,高額・スポーツ系車種,,2025,900.5,1233.0,overall_price_median>=220 / high_price>=500
toyota-land-cruiser-70,トヨタ,ランドクルーザー70,高額・スポーツ系車種,,2025,257.8,804.0,overall_price_median>=220 / high_price>=500
toyota-mirai,トヨタ,MIRAI,高額・スポーツ系車種,EV・FCV,2024,252.4,487.5,overall_price_median>=220
toyota-supra,トヨタ,スープラ,高額・スポーツ系車種,,2025,423.8,776.0,sports_or_premium_list / overall_price_median>=220 / high_price>=500
toyota-vellfire,トヨタ,ヴェルファイア,高額・スポーツ系車種,ミニバン,2025,192.5,818.0,high_price>=500
honda-beat,ホンダ,ビート,高額・スポーツ系車種,軽自動車,1995,30.4,85.0,sports_or_premium_list
honda-civic-type-r,ホンダ,シビックタイプR,高額・スポーツ系車種,,2025,130.0,542.0,sports_or_premium_list / high_price>=500
honda-cr-x,ホンダ,CR-X,高額・スポーツ系車種,,2018,65.3,204.1,sports_or_premium_list
honda-integra,ホンダ,インテグラ,高額・スポーツ系車種,,2006,22.6,87.0,sports_or_premium_list
honda-nsx,ホンダ,NSX,高額・スポーツ系車種,,2020,1080.5,2701.0,sports_or_premium_list / overall_price_median>=220 / high_price>=500
honda-prelude,ホンダ,プレリュード,高額・スポーツ系車種,,2009,24.5,133.0,sports_or_premium_list
honda-s2000,ホンダ,S2000,高額・スポーツ系車種,,2010,257.5,495.0,sports_or_premium_list / overall_price_median>=220
honda-s660,ホンダ,S660,高額・スポーツ系車種,軽自動車,2022,166.0,327.5,sports_or_premium_list
honda-zr-v,ホンダ,ZR-V,高額・スポーツ系車種,,2025,283.2,356.9,overall_price_median>=220
mazda-cx-60,マツダ,CX-60,高額・スポーツ系車種,,2025,316.5,438.0,overall_price_median>=220
mazda-cx-80,マツダ,CX-80,高額・スポーツ系車種,,2025,395.5,486.5,overall_price_median>=220
mazda-roadster,マツダ,ロードスター,高額・スポーツ系車種,,2025,121.2,295.0,sports_or_premium_list
mazda-roadster-rf,マツダ,ロードスターRF,高額・スポーツ系車種,,2023,225.5,330.4,sports_or_premium_list / overall_price_median>=220
mazda-rx-7,マツダ,RX-7,高額・スポーツ系車種,,2012,194.0,545.0,sports_or_premium_list / high_price>=500
mazda-rx-8,マツダ,RX-8,高額・スポーツ系車種,,2013,36.0,187.0,sports_or_premium_list
mazda-savanna-rx-7,マツダ,サバンナRX-7,高額・スポーツ系車種,,1990,163.5,193.7,sports_or_premium_list
mitsubishi-lancer-evolution,三菱,ランサーエボリューション,高額・スポーツ系車種,,2019,182.0,435.5,sports_or_premium_list
mitsubishi-lancer-evolution-wagon,三菱,ランサーエボリューションワゴン,高額・スポーツ系車種,,2009,103.5,240.5,sports_or_premium_list
nissan-ariya,日産,アリア,高額・スポーツ系車種,EV・FCV,2024,382.2,631.5,overall_price_median>=220 / high_price>=500
nissan-fairlady-z,日産,フェアレディZ,高額・スポーツ系車種,,2025,104.0,560.5,sports_or_premium_list / high_price>=500
nissan-gt-r,日産,GT-R,高額・スポーツ系車種,,2025,762.8,2139.5,sports_or_premium_list / overall_price_median>=220 / high_price>=500
nissan-silvia,日産,シルビア,高額・スポーツ系車種,,2003,122.5,341.5,sports_or_premium_list
